Lychee seed-derived microporous carbon for high-performance sodium-sulfur batteries,"© 2022 Elsevier LtdSodium-sulfur (Na–S) batteries are regarded as one of the promising next-generation energy storage systems; while being more cost-effective than lithium-sulfur batteries, Na–S batteries also suffer from the shuttle effect. Different strategies to tackle the long-chain polysulfide product shuttling issue have been proposed, mainly focusing on sulfur product confinement with costly materials and complex methods. Seeking high-performance and low-cost electrode material precursors is of great importance to promoting Na–S battery applications. We present a high specific surface area microporous carbon framework synthesized from degradable biowaste, namely lychee seeds, with a facile room-temperature etching process. Unlike the traditional dissolution-precipitation mechanism, a quasi-solid-state route takes place with the help of micropore (0.48 nm) confinement, preventing the formation of long-chain polysulfides for excellent electrochemical performance. The obtained Na–S battery exhibits an outstanding initial reversible discharge specific capacity of 1395 mAh g−1 at 0.2C and still maintains a high capacity of 518 mAh g−1 after 500 cycles at 1.0C. The lychee seed-derived microporous carbon provides insights into sustainable and scalable host fabrication for high-performance sulfur-based batteries.",Carbon,10.1016/j.carbon.2022.09.075
Efficient Control of the Shuttle Effect in Sodium-Sulfur Batteries with Functionalized Nanoporous Graphenes,"© 2022 American Chemical Society. All rights reserved.Room-temperature sodium-sulfur batteries (RT-NaSBs) are the evolving candidates for large-scale stationary storage because of their major benefits including double-electron redox process and the natural abundance of sodium and sulfur resources. However, their practical applications have been hampered by the poor cycling stability due to the shuttle effect. This work aims at understanding the role of heteroatom-functionalized nanoporous graphene (NPG) in preventing the shuttle effect. The density functional theory method was used to unravel important properties associated with polysulfide-NPG interactions, including binding energy, electronic density of states, charge transfer mechanism, and dissociative energy barriers of the polysulfides. The findings reveal that oxygen- and nitrogen-functionalized NPG can effectively present the shuttle effect by chemically binding to sodium polysulfides (Na2Sn) with a binding energy stronger than that between Na2Snand the common electrolyte solvents. The chemical adsorption of Na2Snon the functionalized NPG causes a semiconductor-to-metal transition, benefiting the electrical conductivity. Moreover, the functionalized NPG lowers the Na2S dissociation energy to substantially form NaS and Na, which serves as a catalyst for enhancing the redox reactions between Na and S.",ACS Applied Nano Materials,10.1021/acsanm.2c02405
Covalent encapsulation of sulfur in a graphene/N-doped carbon host for enhanced sodium-sulfur batteries,"© 2022 Elsevier B.V.Application of emerging room temperature sodium-sulfur (RT Na-S) battery is restrained by the poor conductivity, volume expansion of sulfur cathode and the shuttle effect of soluble polysulfides in electrolytes. Herein, an N-doped two-dimensional (2D) carbon host was derived from the polydopamine coated graphene for sulfur storage. Different from the conventional used melt-diffusion method to integrate sulfur on graphene layer physically, we employed a vapor-infiltration method to realize the homogenous incorporation of sulfur in the graphene-based host via C-Sx-C bond. A polydopamine-derived N-doped carbon layer was further coated on graphene to confine the high-temperature-induced gas-phase sulfur, which effectively increase the covalently bonded sulfur content in the host. Moreover, based on Time-of-Flight Secondary Ion Mass Spectrometry (TOF-SIMS) measurement, the C-S bonds are mainly formed beside N-doped carbon, being well explained by the stronger interaction between N-doped carbon and S4 (sulfur vapor) than that of pure carbon from density functional theory (DFT) calculation results. When tested as a cathode for RT Na-S battery, the obtained N-doped graphene/sulfur cathode shows superior cycle stability.",Chemical Engineering Journal,10.1016/j.cej.2022.136257
Polydopamine as an interfacial layer to enhance mechanical and adhesive properties of the active materials in a sulfur cathode of sodium-sulfur batteries,"© 2022 The Author(s)Room temperature sodium-sulfur (Na-S) batteries are promising devices for energy storage system, but for practical applications volume expansion and detrimental shuttle effect of the sulfur cathode should be solved. Herein, we introduced a novel sulfur cathode system of using polydopamine (PDA) as an interlayer in between sulfurized polyacrylonitrile (SPAN) active material and pullulan-graft-sodium polyacrylic acid (PuA) binder. Active NH and OH functional groups of PDA interlayer serve as facile hydrogen bonding (H bonding) and/or chemical reaction sites to various functional groups of SPAN and PuA, thus forming an intimately packed SPAN/PDA/PuA composite with sufficient mechanical and interfacial adhesive strengths to survive from the dimensional variation of sulfur cathode during charge/discharge cycling. Moreover, various functional groups of the SPAN/PDA/PuA are capable of absorbing polysulfides to limit the shuttle effect. Sulfur cathode derived from SPAN/PDA/PuA exhibited a high specific capacity of 1340 mAh g−1 after 100 cycles at 0.2 C. Without the PDA interlayer, sulfur cathode derived from SPAN/PuA exhibits a much lower capacity of 790 mAh g−1. The role of PDA in promoting the stability and electrochemical performance of sulfur cathode is thus verified in this study.",Chemical Engineering Journal Advances,10.1016/j.ceja.2022.100352
Room-Temperature Sodium–Sulfur Batteries: Rules for Catalyst Selection and Electrode Design,"© 2022 Wiley-VCH GmbH.Seeking an optimal catalyst to accelerate conversion reaction kinetics of room-temperature sodium–sulfur (RT Na–S) batteries is crucial for improving their electrochemical performance and promoting the practical applications. Herein, theoretical calculations of interfacial interactions of catalysts and polysulfides in terms of the surface adsorption state, interfacial ions migration, and electronic concentration around the Fermi level are systematically proposed as guiding principles of catalyst selection for RT Na–S batteries. As a case, MoN catalyst is accurately selected from transition metal nitrides with different d orbital electrons, and for experiment, it is introduced into the carbon nanofibers as a dual-functioning host (MoN@CNFs). The MoN@CNFs can effectively anchor polysulfides and accelerate their conversion reaction. In addition, for the sodium anode, the MoN@CNFs can also induce uniform deposition of Na and inhibit dendrite growth, which are supported by in situ characterizations and finite element simulation technique. As a result, the as-prepared RT Na–S battery displays high reversible capacity of 990 mAh g–1 at 0.2 A g–1 after 100 cycles and long lifespan over 1500 cycles at 2 A g–1. Even with high S loading of 5 mg cm–2, the RT Na–S battery still exhibits a high areal capacity of 2.5 mAh cm–2.",Advanced Materials,10.1002/adma.202204214
Stable Cycling of Room-Temperature Sodium-Sulfur Batteries Based on an In Situ Crosslinked Gel Polymer Electrolyte,"© 2022 The Authors. Advanced Functional Materials published by Wiley-VCH GmbH.High-temperature sodium-sulfur battery (HT Na–S) technology has attracted substantial interest in the stationary energy storage sector due to its low cost and high energy density. However, the currently used solid electrolyte (ß-alumina) is expensive and can only be operated at high temperatures, which compromises safety. On the other hand, liquid electrolytes in room temperature sodium-sulfur batteries (RT Na–S) are susceptible to dendrite formation and polysulfide shuttle. Consequently, an electrolyte with both solid (shuttle blocking) and liquid (ionic conductivity) properties to overcome the above-mentioned issues is highly desired. Herein, a high-performance quasi-solid state crosslinked gel polymer electrolyte (GPE) prepared in situ using pentaerythritol triacrylate (PETA) exhibiting high ionic conductivity of 2.33 mS cm−1 at 25 °C is presented. The GPE-based electrolyte shows high stability resulting in a high discharge capacity of >600 mAh gs−1 after 2500 cycles with an average Coulombic efficiency of 99.91%. Density functional theory calculations reveal a weak interaction between the Na+ ions and the oxygen molecules of the PETA moiety, which leads to a facile cation movement. The crosslinked polymer network is tightly connected to the cathode and can confine sulfides, thereby facilitating the conversion process.",Advanced Functional Materials,10.1002/adfm.202201191
Rational Electrolyte Design toward Cyclability Remedy for Room-Temperature Sodium–Sulfur Batteries,"© 2022 Wiley-VCH GmbH.Rechargeable room-temperature sodium–sulfur (RT Na–S) batteries are a promising energy storage technology, owing to the merits of high energy density and low cost. However, their electrochemical performance has been severely hindered by the poor compatibility between the existing electrolytes and the electrodes. Here, we demonstrate that an all-fluorinated electrolyte, containing 2,2,2-trifluoro-N,N-dimethylacetamide (FDMA) solvent, 1,1,2,2-tetrafluoroethyl methyl ether (MTFE) anti-solvent and fluoroethylene carbonate (FEC) additive, can greatly enhance the reversibility and cyclability of RT Na–S batteries. A NaF- and Na3N-rich cathode electrolyte interphase derived from FDMA and FEC enables a “quasi-solid-phase” Na–S conversion, eliminating the shuttle of polysulfides. The MTFE not only reduces polysulfide dissolution, but also further stabilizes the Na anode via a tailored solvation structure. The as-developed RT Na–S batteries deliver a high capacity, long lifespan, and enhanced safety.",Angewandte Chemie - International Edition,10.1002/anie.202205416
"A flexible, ceramic-rich solid electrolyte for room-temperature sodium-sulfur batteries","© 2022 The Royal Society of Chemistry.A sodium superionic conductor, Na3Zr2Si2PO12 (NZSP) ceramic, is a promising solid electrolyte (SE) and holds the potential to solve the safety and energy density problems of several sodium-based batteries. In particular, in room temperature sodium-sulfur (RT Na/S) batteries, the use of SEs can solve polysulfide shuttle effects. A significant challenge in the commercialization of NZSP is producing the ceramic in a thin and flexible form. Herein, we report a method to produce a thin (<250 μm thickness) and flexible “polymer in ceramic” type sodium ion conductor film from the erstwhile brittle ceramic film and demonstrate its application in RT Na/S batteries.",Chemical Communications,10.1039/d2cc02326a
Inhibited shuttle effect by functional separator for room-temperature sodium-sulfur batteries,"© 2022According to a statistic, approximately 6 trillion cigarettes are smoked each year all over the world, which produces approximately 1.2 million tons of discarded cigarette butts. The discarded cigarette filters are non-biodegradable, thus they produce a mass of waste disposal and cause environmental pollution issue. For the purpose of transforming waste into wealth and reducing environmental pollution, nitrogen and sulfur co-doped carbon nanofiber/carbon black (N,S-CNF/CB) composite derived from the discarded cigarette filters is employed to modify glass fiber (GF) separator for the first time in this study. N,S-CNF improves binding ability towards sodium polysulfides (SPSs) by chemisorption. Non-polar CB limits the dissolution of SPSs in the liquid electrolyte by physisorption. The experiment and density functional theory calculation results indicate that a RT-Na/S battery with a N,S-CNF/CB+GF separator exhibits good cycling stability and rate performance. After 100 cycles at a low current rate of 0.1 C, a RT-Na/S battery with a sulfur mass fraction of 71% delivers a discharge capacity of 703 mAh g − 1. In addition, at a high current rate of 0.5 C, a discharge capacity of 527 mAh g − 1 is still maintained after 900 cycles with a very low capacity fading rate of 0.035% per cycle.",Journal of Materials Science and Technology,10.1016/j.jmst.2021.10.027
Streamline Sulfur Redox Reactions to Achieve Efficient Room-Temperature Sodium–Sulfur Batteries,"© 2022 Wiley-VCH GmbH.It is vital to dynamically regulate S activity to achieve efficient and stable room-temperature sodium–sulfur (RT/Na−S) batteries. Herein, we report using cobalt sulfide as an electron reservoir to enhance the activity of sulfur cathodes, and simultaneously combining with cobalt single atoms as double-end binding sites for a stable S conversion process. The rationally constructed CoS2 electron reservoir enables the straight reduction of S to short-chain sodium polysulfides (Na2S4) via a streamlined redox path through electron transfer. Meanwhile, cobalt single atoms synergistically work with the electron reservoir to reinforce the streamlined redox path, which immobilize in situ formed long-chain products and catalyze their conversion, thus realizing high S utilization and sustainable cycling stability. The as-developed sulfur cathodes exhibit a superior rate performance of 443 mAh g−1 at 5 A g−1 with a high cycling capacity retention of 80 % after 5000 cycles at 5 A g−1.",Angewandte Chemie - International Edition,10.1002/anie.202200384
Trends in the Development of Room-Temperature Sodium–Sulfur Batteries,"© 2022, Pleiades Publishing, Ltd.This review examines research reported in the past decade in the field of the fabrication of batteries based on the sodium–sulfur system, capable of operating at an ambient temperature (room-temperature sodium–sulfur (Na–S) batteries). Such batteries differ from currently widespread lithium-ion or lithium–sulfur analogs in that their starting materials are cheaper and more readily available. One of the key problems to be resolved on the way to room-temperature Na–S batteries with high energy density and long-term cycling stability is transport of cell reaction products (sodium polysulfides) to the opposite electrode, which leads to an appreciable battery self-discharge and loss of the active material as a result of redox reactions that are not accompanied by energy generation. This review is aimed at examining approaches to improving the electrochemical performance of the room-temperature Na–S batteries. Particular attention is paid to potential applications of cation-exchange materials capable of suppressing polysulfide anion transport, with a high sodium cation transport rate retained.",Inorganic Materials,10.1134/S0020168522040124
A High-Efficiency Mo2C Electrocatalyst Promoting the Polysulfide Redox Kinetics for Na–S Batteries,"© 2022 Wiley-VCH GmbH.Room-temperature sodium–sulfur (RT Na–S) batteries, as promising next-generation energy storage candidates, are drawing more and more attention due to the high energy density and abundant elements reserved in the earth. However, the native downsides of RT Na-S batteries (i.e., enormous volume changes, the polysulfide shuttle, and the insulation and low reactivity of S) impede their further application. To conquer these challenges, hierarchical porous hollow carbon polyhedrons embedded with uniform Mo2C nanoparticles are designed deliberately as the host for S. The micro- and mesoporous hollow carbon indeed dramatically enhances the reactivity of the S cathodes and accommodates the volume changes. Meanwhile, the highly conductive dispersed Mo2C has a strong chemical adsorption to polysulfides and catalyzes the transformation of polysulfides, which can effectively inhibit the dissolution of polysulfides and accelerate the reaction kinetics. Thus, the as-prepared S cathode can display a high reversible capacity (1098 mAh g−1 at 0.2 A g−1 after 120 cycles) and superior rate performance (483 mAh g−1 at 10.0 A g−1). This work provides a new method to boost the performance of RT Na–S batteries.",Advanced Materials,10.1002/adma.202200479
Tungsten Nanoparticles Accelerate Polysulfides Conversion: A Viable Route toward Stable Room-Temperature Sodium–Sulfur Batteries,"© 2022 The Authors. Advanced Science published by Wiley-VCH GmbH.Room-temperature sodium–sulfur (RT Na–S) batteries are arousing great interest in recent years. Their practical applications, however, are hindered by several intrinsic problems, such as the sluggish kinetic, shuttle effect, and the incomplete conversion of sodium polysulfides (NaPSs). Here a sulfur host material that is based on tungsten nanoparticles embedded in nitrogen-doped graphene is reported. The incorporation of tungsten nanoparticles significantly accelerates the polysulfides conversion (especially the reduction of Na2S4 to Na2S, which contributes to 75% of the full capacity) and completely suppresses the shuttle effect, en route to a fully reversible reaction of NaPSs. With a host weight ratio of only 9.1% (about 3–6 times lower than that in recent reports), the cathode shows unprecedented electrochemical performances even at high sulfur mass loadings. The experimental findings, which are corroborated by the first-principles calculations, highlight the so far unexplored role of tungsten nanoparticles in sulfur hosts, thus pointing to a viable route toward stable Na–S batteries at room temperatures.",Advanced Science,10.1002/advs.202105544
Tessellated N-doped carbon/CoSe2 as trap-catalyst sulfur hosts for room-temperature sodium-sulfur batteries,"© 2022 The Royal Society of ChemistryThe construction of highly conductive structures with excellent adsorption-catalytic properties to accelerate electron transfer and suppress polysulfide shuttle is considered as an effective strategy to achieve well-performing sodium-sulfur batteries. Herein, a self-supported tessellated N-doped carbon/CoSe2 (NCCS) is developed as a sulfur host for sodium-sulfur batteries by a simple deposition-selenization of lyophilized bacterial cellulose (BC), where NC acts as a conductive network to ensure the rapid initiation of efficient catalytic reactions at the tessellated CoSe2 interface and maintain good structural stability. The CoSe2 nanoparticles provide strong ability in anchoring, trapping and catalyzing polysulfides. As a result, the prepared tessellated NCCS@S cathode demonstrates a high initial discharge specific capacity of 871.3 mA h g−1 at a current rate of 0.1C and good electrochemical stability for up to 500 cycles at 1C.",Inorganic Chemistry Frontiers,10.1039/d2qi00057a
